paper_id,file_name,relative_path,category,file_type,file_size,content_hash,canonical_title,authors,year,venue,doi,arxiv_id,source_url,abstract_available,full_text_available,page_count,extraction_status,extraction_quality,duplicate_group,supersedes_or_superseded_by,processing_status,notes
A36960,36960_Beyond-Content-A-Comprehensive-Speech-Toxicity-Dataset-and-Detection-Framework-Incorporati.pdf,AILLM-Safety/36960_Beyond-Content-A-Comprehensive-Speech-Toxicity-Dataset-and-Detection-Framework-Incorporati.pdf,AILLM-Safety,pdf,2206681,8d33efaf78519a6d0bfd213e3bea005129555ffcb0ef94783a69351dee51647b,Beyond Content: A Comprehensive Speech Toxicity Dataset and Detection Framework Incorporating Paralinguistic Cues,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A36996,36996_CHASE-Contextual-History-for-Adaptive-and-Simple-Exploitation-in-Large-Language-Model-Jail.pdf,AILLM-Safety/36996_CHASE-Contextual-History-for-Adaptive-and-Simple-Exploitation-in-Large-Language-Model-Jail.pdf,AILLM-Safety,pdf,336155,12a9745ea032448f5e649cf2188b7c711fce30ca9a7a0cb05ea98b82a7bcb9d4,CHASE: Contextual History for Adaptive and Simple Exploitation in Large Language Model Jailbreaking,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A37106,37106_Where-to-Start-Alignment-Diffusion-Large-Language-Model-May-Demand-a-Distinct-Position.pdf,AILLM-Safety/37106_Where-to-Start-Alignment-Diffusion-Large-Language-Model-May-Demand-a-Distinct-Position.pdf,AILLM-Safety,pdf,425238,648008f7f9c72d8c1f0ce157d227424bab8bea1d4460d655974811b645702a7a,Where to Start Alignment? Diffusion Large Language Model May Demand a Distinct Position (MOSA),,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A37192,37192_Dep-MAP-A-Multi-level-Alignment-Framework-with-Semantic-Prototypes-for-Video-based-Automat.pdf,AILLM-Safety/37192_Dep-MAP-A-Multi-level-Alignment-Framework-with-Semantic-Prototypes-for-Video-based-Automat.pdf,AILLM-Safety,pdf,4468227,bfc4641cbfa81a213129058b82f4eaa61f7783d3b4954a6b59c731b74438f17e,Dep-MAP: A Multi-level Alignment Framework with Semantic Prototypes for Video-based Automatic Depression Assessment,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A37203,37203_Exploiting-Synergistic-Cognitive-Biases-to-Bypass-Safety-in-LLMs.pdf,AILLM-Safety/37203_Exploiting-Synergistic-Cognitive-Biases-to-Bypass-Safety-in-LLMs.pdf,AILLM-Safety,pdf,744961,92707eaff472511cdf157fd486ed94c4b2c962290c992bdf3fea44d726f8b1e3,Exploiting Synergistic Cognitive Biases to Bypass Safety in LLMs (CognitiveAttack),,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A37350,37350_EigenShield-Inference-Time-Model-Agnostic-Jailbreaking-Defense-via-Causal-Subspace-Filteri.pdf,AILLM-Safety/37350_EigenShield-Inference-Time-Model-Agnostic-Jailbreaking-Defense-via-Causal-Subspace-Filteri.pdf,AILLM-Safety,pdf,4865941,92108fe74b27c92d5b1c7aec744bae042f712a389cf4d7cc2ce45518c75ae3ed,"EigenShield: Inference-Time, Model-Agnostic Jailbreaking Defense via Causal Subspace Filtering",,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A37696,37696_DCA-LUT-Deep-Chromatic-Alignment-with-5D-LUT-for-Purple-Fringing-Removal.pdf,AILLM-Safety/37696_DCA-LUT-Deep-Chromatic-Alignment-with-5D-LUT-for-Purple-Fringing-Removal.pdf,AILLM-Safety,pdf,3679556,df38529b11b34bd3acee090a5a335e5a0e58da3cbea4998ff506e83b16864609,DCA-LUT: Deep Chromatic Alignment with 5D LUT for Purple Fringing Removal,,2026,AAAI-26,,,,True,True,8,ok,high,,,card-present,
A37918,37918_FedSDA-Federated-Stain-Distribution-Alignment-for-Non-IID-Histopathological-Image-Classifi.pdf,AILLM-Safety/37918_FedSDA-Federated-Stain-Distribution-Alignment-for-Non-IID-Histopathological-Image-Classifi.pdf,AILLM-Safety,pdf,6202708,607630576e0193fcbcbf8f1bad8e59cf191f11b985c4dec92bf205c00b2ea59f,FedSDA: Federated Stain Distribution Alignment for Non-IID Histopathological Image Classification,,2026,AAAI-26,,,,True,True,10,ok,high,,,card-present,
A38215,38215_InfoCLIP-Bridging-Vision-Language-Pretraining-and-Open-Vocabulary-Semantic-Segmentation-vi.pdf,AILLM-Safety/38215_InfoCLIP-Bridging-Vision-Language-Pretraining-and-Open-Vocabulary-Semantic-Segmentation-vi.pdf,AILLM-Safety,pdf,1274736,8a8ead3d3d1596e40a3992c7981cc2cdcee5e21fc034c8bab1f02ac89a33d288,InfoCLIP: Bridging Vision-Language Pretraining and Open-Vocabulary Semantic Segmentation via Information-Theoretic Alignment Transfer,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
A38279,38279_UniFit-Towards-Universal-Virtual-Try-on-with-MLLM-Guided-Semantic-Alignment.pdf,AILLM-Safety/38279_UniFit-Towards-Universal-Virtual-Try-on-with-MLLM-Guided-Semantic-Alignment.pdf,AILLM-Safety,pdf,4381025,de47cd8a763004d18c5a266f4467d42d59ec98b10609d7b2cd18aeb5bf5bcc0a,UniFit: Towards Universal Virtual Try-on with MLLM-Guided Semantic Alignment,,2026,AAAI-26,,,,True,True,9,ok,high,,,card-present,
